# e(GeV/fm^3)  rho_B(1/fm^3)  c2_hat  zeta_hat(GeV/fm^3)  eta_hat(GeV/fm^3)
  1.000000e-02  8.081412e-03  7.101250e-02  4.871923e-04  7.541745e-04
  1.000000e-02  8.130390e-03  7.042430e-02  4.807344e-04  7.463016e-04
  1.000000e-02  8.179368e-03  6.983268e-02  4.742555e-04  7.382033e-04
  1.000000e-02  8.228346e-03  6.923737e-02  4.677305e-04  7.300626e-04
  1.000000e-02  8.277325e-03  6.863860e-02  4.611514e-04  7.218913e-04
  1.000000e-02  8.326303e-03  6.803548e-02  4.545353e-04  7.136742e-04
  1.000000e-02  8.375281e-03  6.742747e-02  4.479283e-04  7.054108e-04
  1.000000e-02  8.424259e-03  6.681457e-02  4.411855e-04  6.971011e-04
  1.000000e-02  8.473238e-03  6.619638e-02  4.344794e-04  6.887398e-04
  1.000000e-02  8.522216e-03  6.557197e-02  4.277365e-04  6.803224e-04
  1.000000e-02  8.571194e-03  6.494170e-02  4.209435e-04  6.718577e-04
  1.000000e-02  8.620172e-03  6.430439e-02  4.139877e-04  6.633260e-04
  1.000000e-02  8.669151e-03  6.365957e-02  4.071465e-04  6.547338e-04
  1.000000e-02  8.718129e-03  6.300654e-02  4.001811e-04  6.460697e-04
  1.000000e-02  8.767107e-03  6.234505e-02  3.931861e-04  6.373339e-04
  1.000000e-02  8.816085e-03  6.167435e-02  3.861616e-04  6.285239e-04
  1.000000e-02  8.865064e-03  6.099238e-02  3.789819e-04  6.196171e-04
  1.000000e-02  8.914042e-03  6.030055e-02  3.718366e-04  6.106390e-04
  1.000000e-02  8.963020e-03  5.959581e-02  3.645896e-04  6.015523e-04
  1.000000e-02  9.011998e-03  5.887807e-02  3.574010e-04  5.923635e-04
  1.000000e-02  9.060977e-03  5.814606e-02  3.500393e-04  5.830633e-04
  1.000000e-02  9.109955e-03  5.739875e-02  3.424700e-04  5.736426e-04
  1.000000e-02  9.158933e-03  5.663332e-02  5.652474e-04  5.640786e-04
  1.000000e-02  9.207911e-03  5.584987e-02  5.694223e-04  5.543795e-04
  1.000000e-02  9.256890e-03  5.504588e-02  5.746224e-04  5.445180e-04
  1.000000e-02  9.305868e-03  5.421906e-02  5.806866e-04  5.344795e-04
  1.000000e-02  9.354846e-03  5.336692e-02  5.880543e-04  5.242509e-04
  1.000000e-02  9.403824e-03  5.248685e-02  5.968039e-04  5.138078e-04
  1.000000e-02  9.452803e-03  5.157594e-02  6.073940e-04  5.031255e-04
  1.000000e-02  9.501781e-03  5.062954e-02  6.197197e-04  4.921758e-04
  1.000000e-02  9.550759e-03  4.964493e-02  6.344076e-04  4.809334e-04
  1.000000e-02  9.599737e-03  4.861597e-02  6.519949e-04  4.693518e-04
  1.000000e-02  9.648716e-03  4.753607e-02  6.729620e-04  4.573803e-04
  1.000000e-02  9.697694e-03  4.640096e-02  6.981615e-04  4.449909e-04
  1.000000e-02  9.746672e-03  4.519961e-02  7.282309e-04  4.320914e-04
  2.000000e-02  0.000000e+00  2.012376e-01  1.246412e-03  3.690745e-03
  2.000000e-02  9.630945e-05  2.011262e-01  1.247763e-03  3.689788e-03
  2.000000e-02  1.926189e-04  2.008005e-01  1.251689e-03  3.686946e-03
  2.000000e-02  2.889284e-04  2.002827e-01  1.257900e-03  3.682400e-03
  2.000000e-02  3.852378e-04  1.996025e-01  1.266009e-03  3.676424e-03
  2.000000e-02  4.815473e-04  1.987919e-01  1.275563e-03  3.669220e-03
  2.000000e-02  5.778567e-04  1.978790e-01  1.286260e-03  3.661073e-03
  2.000000e-02  6.741662e-04  1.968884e-01  1.297708e-03  3.652147e-03
  2.000000e-02  7.704756e-04  1.958397e-01  1.309685e-03  3.642621e-03
  2.000000e-02  8.667851e-04  1.947482e-01  1.322007e-03  3.632608e-03
  2.000000e-02  9.630945e-04  1.936256e-01  1.334469e-03  3.622184e-03
  2.000000e-02  1.059404e-03  1.924807e-01  1.347019e-03  3.611476e-03
  2.000000e-02  1.155713e-03  1.913210e-01  1.359514e-03  3.600494e-03
  2.000000e-02  1.252023e-03  1.901515e-01  1.371933e-03  3.589290e-03
  2.000000e-02  1.348332e-03  1.889763e-01  1.384183e-03  3.577913e-03
  2.000000e-02  1.444642e-03  1.877990e-01  1.396256e-03  3.566402e-03
  2.000000e-02  1.540951e-03  1.866217e-01  1.408101e-03  3.554766e-03
  2.000000e-02  1.637261e-03  1.854466e-01  1.419726e-03  3.543016e-03
  2.000000e-02  1.733570e-03  1.842755e-01  1.431069e-03  3.531169e-03
  2.000000e-02  1.829880e-03  1.831093e-01  1.442146e-03  3.519242e-03
  2.000000e-02  1.926189e-03  1.819492e-01  1.452952e-03  3.507265e-03
  2.000000e-02  2.022499e-03  1.807960e-01  1.463459e-03  3.495214e-03
  2.000000e-02  2.118808e-03  1.796503e-01  1.473666e-03  3.483105e-03
  2.000000e-02  2.215117e-03  1.785124e-01  1.483582e-03  3.470947e-03
  2.000000e-02  2.311427e-03  1.773829e-01  1.493195e-03  3.458743e-03
  2.000000e-02  2.407736e-03  1.762621e-01  1.502509e-03  3.446510e-03
  2.000000e-02  2.504046e-03  1.751500e-01  1.511524e-03  3.434233e-03
  2.000000e-02  2.600355e-03  1.740471e-01  1.520242e-03  3.421905e-03
  2.000000e-02  2.696665e-03  1.729534e-01  1.528659e-03  3.409565e-03
  2.000000e-02  2.792974e-03  1.718688e-01  1.536805e-03  3.397222e-03
  2.000000e-02  2.889284e-03  1.707936e-01  1.544613e-03  3.384811e-03
  2.000000e-02  2.985593e-03  1.697277e-01  1.552163e-03  3.372406e-03
